#CF1a	Mx	My	Mz
-0.0393994	42.0876800	-6.7344890	-2.7283850
-0.0397656	42.0876800	-6.6476030	-2.8148050
-0.0402844	42.0876800	-6.5896790	-2.8148050
-0.0408948	42.2604600	-6.5317540	-2.8724170
-0.0413831	42.2604600	-6.5317540	-2.8724170
-0.0416578	42.4620400	-6.4159060	-2.9012240
-0.0417188	42.4908300	-6.4159060	-2.9300300
-0.0417798	42.5196300	-6.3000580	-2.9588370
-0.0418104	42.5484200	-6.2710960	-2.9876430
-0.0418104	42.5772200	-6.2421340	-3.0452560
-0.0418104	42.5772200	-6.2131720	-3.0452560
-0.0418104	42.9803800	-6.2131720	-3.1028690
-0.0415357	42.9803800	-6.2131720	-3.1028690
-0.0411390	43.0379700	-6.2131720	-3.1604820
-0.0410779	43.0379700	-6.2131720	-3.1604820
-0.0410169	43.0955600	-6.2131720	-3.1892880
-0.0409558	43.0955600	-6.2131720	-3.1892880
-0.0404370	43.1243600	-6.2131720	-3.1892880
-0.0398267	43.1243600	-6.2710960	-3.1892880
-0.0388806	43.1819500	-6.4738300	-3.2180940
-0.0377514	43.1819500	-6.6765650	-3.2180940
-0.0368664	43.1819500	-6.7344890	-3.2469010
-0.0361950	43.1819500	-6.9951480	-3.2469010
-0.0357067	43.2971400	-7.0530710	-3.2757070
-0.0353099	43.2971400	-7.2558060	-3.2757070
-0.0348827	43.8730700	-7.2847680	-3.3045140
-0.0340892	43.8730700	-7.3716550	-3.3045140
-0.0329905	43.9018700	-7.5743890	-3.3045140
-0.0318613	43.9018700	-7.6323130	-3.3045140
-0.0310373	43.6139000	-7.8929720	-3.3045140
-0.0306101	43.6139000	-7.9508960	-3.3045140
-0.0305185	43.5851100	-8.0088200	-3.3045140
-0.0304880	43.5851100	-8.2115550	-3.3045140
-0.0304880	44.1898300	-8.2405170	-3.3045140
-0.0302744	44.1898300	-8.2694790	-3.3045140
-0.0296640	44.0746500	-8.2984410	-3.3045140
-0.0292673	44.0746500	-8.2984410	-3.3045140
-0.0292062	43.8154800	-8.3274020	-3.3045140
-0.0292062	43.8154800	-8.3563640	-3.3045140
-0.0296335	44.0458500	-8.3563640	-3.3045140
-0.0305796	44.0458500	-8.3853260	-3.3045140
-0.0312204	44.7657700	-8.3853260	-3.3045140
-0.0312510	44.7657700	-8.3853260	-3.3045140
-0.0312510	44.7945600	-8.3853260	-3.3333200
-0.0310373	44.7945600	-8.3853260	-3.3333200
-0.0307016	44.3914100	-8.3853260	-3.3333200
-0.0306711	44.3914100	-8.3853260	-3.3333200
-0.0306711	44.3626100	-8.3563640	-3.3333200
-0.0314036	44.3626100	-8.3274020	-3.3333200
-0.0320139	44.7081800	-8.2694790	-3.3333200
-0.0324107	44.7081800	-8.2115550	-3.3333200
-0.0328990	44.7945600	-8.0088200	-3.3333200
-0.0332957	44.7945600	-7.9508960	-3.3333200
-0.0336314	44.7945600	-7.7481610	-3.3333200
-0.0340587	44.7945600	-7.7191990	-3.3333200
-0.0346690	45.1401300	-7.6612750	-3.3333200
-0.0349437	45.1401300	-7.6323130	-3.3333200
-0.0349742	45.2553100	-7.6323130	-3.3333200
-0.0349742	45.2553100	-7.6323130	-3.3333200
-0.0346995	45.2841100	-7.6323130	-3.3333200
-0.0343028	45.2841100	-7.6323130	-3.3333200
-0.0340281	45.2841100	-7.6323130	-3.3333200
-0.0339671	45.2841100	-7.6323130	-3.3333200
-0.0336924	45.2841100	-7.6323130	-3.3333200
-0.0332041	45.2841100	-7.6612750	-3.3333200
-0.0325327	45.2841100	-7.7481610	-3.3045140
-0.0319834	45.0537300	-7.8060860	-3.2469010
-0.0312510	44.9961400	-7.8640090	-3.2180940
-0.0306101	44.7945600	-7.9508960	-3.1892880
-0.0302744	44.7945600	-8.0088200	-3.1604820
-0.0300302	44.7945600	-8.2115550	-3.1316750
-0.0295419	44.7945600	-8.2694790	-3.1028690
-0.0289316	44.7945600	-8.3274020	-3.0452560
-0.0285958	44.7945600	-8.3853260	-3.0164490
-0.0281686	44.7945600	-8.4722130	-2.9876430
-0.0276498	44.7369700	-8.5011750	-2.9876430
-0.0272836	44.6793800	-8.5301370	-2.9876430
-0.0271920	44.6505800	-8.5590990	-2.9588370
-0.0268258	44.6505800	-8.6170230	-2.9588370
-0.0264901	44.5929900	-8.6749480	-2.9588370
-0.0264290	44.5641900	-8.8776820	-2.9588370
-0.0263375	44.5641900	-8.9356060	-2.9300300
-0.0260018	44.5641900	-9.0224920	-2.9300300
-0.0253914	44.6217800	-9.1962640	-2.9300300
-0.0245064	44.6505800	-9.2252260	-2.9300300
-0.0232856	44.6505800	-9.3121130	-2.9300300
-0.0220039	44.3338200	-9.3700370	-2.9012240
-0.0209967	44.2474300	-9.6306950	-2.9012240
-0.0205084	44.1898300	-9.8334300	-2.9012240
-0.0204169	44.1898300	-9.8913550	-2.8724170
-0.0201727	44.1898300	-10.0940900	-2.8724170
-0.0198981	44.3914100	-10.1230500	-2.8724170
-0.0192877	44.3914100	-10.1520100	-2.8436110
-0.0180975	44.1610400	-10.1809700	-2.8436110
-0.0169988	43.8442800	-10.2099400	-2.8148050
-0.0163884	43.8154800	-10.2678600	-2.8148050
-0.0163579	43.8154800	-10.2968200	-2.7859980
-0.0163579	43.8730700	-10.3547500	-2.7859980
-0.0164800	44.2474300	-10.4416300	-2.7571920
-0.0165105	44.4490100	-10.4995600	-2.7571920
-0.0162664	44.4490100	-10.5864400	-2.7571920
-0.0153203	44.1610400	-10.6443700	-2.7571920
-0.0145573	43.8442800	-10.7022900	-2.7571920
-0.0141606	43.8154800	-10.7891800	-2.7571920
-0.0141301	43.8154800	-10.7891800	-2.7571920
-0.0141301	43.7866800	-10.8760600	-2.7571920
-0.0145879	43.8154800	-10.8760600	-2.7571920
-0.0148015	44.1610400	-10.9339900	-2.7571920
-0.0148320	44.1610400	-10.9339900	-2.7571920
-0.0147710	44.0746500	-10.9339900	-2.7571920
-0.0147099	44.0170600	-10.9339900	-2.7571920
-0.0146794	43.9594600	-10.9339900	-2.7571920
-0.0146489	43.9306600	-10.9339900	-2.7571920
-0.0148625	43.9306600	-10.9339900	-2.7571920
-0.0154119	43.9306600	-10.9339900	-2.7571920
-0.0156255	43.9306600	-10.9050300	-2.7571920
-0.0156255	43.8442800	-10.8760600	-2.7571920
-0.0156255	43.7866800	-10.8181400	-2.7571920
-0.0155034	43.5275100	-10.7891800	-2.7571920
-0.0154424	43.4987100	-10.7891800	-2.7571920
-0.0154119	43.4699200	-10.7602200	-2.7571920
-0.0155339	43.4699200	-10.7602200	-2.7571920
-0.0158696	43.4699200	-10.7022900	-2.7283850
-0.0159307	43.2683400	-10.6733300	-2.6995790
-0.0164190	43.2107500	-10.5864400	-2.6995790
-0.0168462	43.0091700	-10.2968200	-2.6707720
-0.0173040	42.9803800	-10.2389000	-2.6707720
-0.0177007	42.9515800	-10.1520100	-2.6419660
-0.0180670	42.9515800	-10.0940900	-2.6419660
-0.0183416	42.9515800	-10.0072000	-2.6131600
-0.0184027	42.6348200	-9.9492780	-2.5843530
-0.0184942	42.5772200	-9.8623920	-2.5555470
-0.0188604	42.3468500	-9.6017330	-2.5555470
